Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3078885078430176,0.794,0.454,0.012,0.007,0.001,0.006,0.0,0.0,0.025,0.032,0.004,0.0,0.009,0.002,0.008,0.004,0.436
1.2601449489593506,0.788,0.445,0.009,0.006,0.004,0.006,0.0,0.0,0.014,0.037,0.001,0.001,0.017,0.002,0.011,0.006,0.441
1.217639446258545,0.802,0.433,0.005,0.005,0.002,0.01,0.0,0.0,0.014,0.041,0.001,0.0,0.009,0.001,0.006,0.009,0.464
1.2805533409118652,0.824,0.444,0.005,0.012,0.002,0.006,0.0,0.002,0.012,0.028,0.001,0.002,0.012,0.003,0.012,0.001,0.458
1.248685359954834,0.824,0.472,0.013,0.002,0.002,0.009,0.0,0.001,0.007,0.04,0.0,0.0,0.007,0.002,0.005,0.005,0.435
1.3165547847747803,0.784,0.421,0.004,0.003,0.007,0.011,0.0,0.0,0.011,0.048,0.001,0.0,0.019,0.002,0.009,0.003,0.461
1.2824780941009521,0.774,0.428,0.008,0.01,0.006,0.016,0.0,0.0,0.018,0.04,0.0,0.0,0.013,0.002,0.006,0.002,0.451
1.2461943626403809,0.804,0.446,0.006,0.008,0.006,0.01,0.001,0.001,0.017,0.031,0.0,0.001,0.011,0.0,0.012,0.003,0.447
1.4636008739471436,0.782,0.45,0.006,0.004,0.001,0.009,0.0,0.0,0.017,0.038,0.001,0.001,0.012,0.001,0.015,0.008,0.437
1.3121700286865234,0.784,0.424,0.009,0.01,0.003,0.008,0.0,0.0,0.01,0.044,0.0,0.002,0.02,0.003,0.004,0.003,0.46
1.2638740539550781,0.808,0.416,0.003,0.005,0.001,0.012,0.0,0.001,0.014,0.037,0.001,0.001,0.009,0.002,0.012,0.004,0.482
1.2605504989624023,0.796,0.427,0.009,0.009,0.003,0.007,0.0,0.0,0.004,0.044,0.0,0.001,0.016,0.003,0.009,0.004,0.464
1.2300329208374023,0.762,0.424,0.006,0.011,0.003,0.016,0.001,0.0,0.013,0.052,0.001,0.0,0.007,0.002,0.008,0.006,0.45
1.258810043334961,0.794,0.421,0.01,0.004,0.0,0.012,0.0,0.0,0.012,0.038,0.001,0.0,0.016,0.006,0.008,0.003,0.469
1.2656805515289307,0.816,0.423,0.004,0.01,0.001,0.011,0.0,0.001,0.009,0.034,0.0,0.002,0.011,0.002,0.01,0.003,0.479
1.2858750820159912,0.802,0.458,0.012,0.004,0.003,0.009,0.002,0.0,0.01,0.036,0.002,0.001,0.012,0.002,0.012,0.004,0.433
