Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3765223026275635,0.22,0.0015,0.006,0.0035,0.022,0.002,0.015,0.017,0.0915,0.003,0.02,0.016,0.1045,0.012,0.102,0.0775,0.5065
1.2613329887390137,0.215,0.0025,0.0045,0.003,0.0185,0.003,0.0215,0.011,0.1025,0.005,0.0225,0.0185,0.098,0.0155,0.084,0.0925,0.4975
1.324648141860962,0.21,0.0025,0.005,0.0025,0.0195,0.0025,0.023,0.015,0.0945,0.0015,0.0275,0.02,0.098,0.017,0.103,0.088,0.4805
1.2624144554138184,0.168,0.0005,0.0045,0.0085,0.025,0.0025,0.0175,0.0125,0.1,0.0045,0.0205,0.0195,0.106,0.016,0.098,0.092,0.4725
1.2965569496154785,0.191,0.0015,0.0045,0.0055,0.025,0.002,0.016,0.0185,0.086,0.0045,0.0225,0.021,0.1055,0.0225,0.107,0.0895,0.4685
1.2655930519104004,0.26,0.002,0.004,0.0015,0.0255,0.0055,0.0245,0.0185,0.0885,0.0035,0.022,0.0125,0.0885,0.0235,0.099,0.0795,0.5015
1.3497865200042725,0.192,0.0015,0.0055,0.0035,0.023,0.005,0.018,0.017,0.0885,0.0055,0.0265,0.0175,0.101,0.018,0.091,0.104,0.4745
1.1781415939331055,0.194,0.0,0.0045,0.0055,0.024,0.003,0.0205,0.0165,0.096,0.006,0.023,0.0195,0.0965,0.0185,0.102,0.0895,0.475
1.3193252086639404,0.173,0.0,0.0055,0.0055,0.021,0.0065,0.0175,0.013,0.0925,0.0055,0.021,0.018,0.11,0.017,0.0995,0.0885,0.479
1.3665778636932373,0.213,0.0005,0.007,0.006,0.017,0.002,0.0195,0.018,0.0895,0.0045,0.016,0.0215,0.0975,0.016,0.1035,0.0835,0.498
1.261850357055664,0.254,0.0005,0.0055,0.005,0.0275,0.0065,0.0185,0.0175,0.0775,0.005,0.0195,0.0195,0.0925,0.02,0.09,0.091,0.504
1.3462438583374023,0.174,0.0025,0.0065,0.005,0.023,0.003,0.015,0.014,0.1,0.0085,0.027,0.013,0.11,0.0205,0.094,0.086,0.472
1.2916316986083984,0.214,0.002,0.0025,0.003,0.0275,0.005,0.016,0.0125,0.089,0.0025,0.024,0.0145,0.091,0.016,0.0975,0.1025,0.4945
1.2757785320281982,0.229,0.001,0.005,0.0035,0.018,0.0035,0.022,0.015,0.0795,0.0055,0.0295,0.0225,0.1045,0.016,0.097,0.087,0.4905
1.2564923763275146,0.23,0.001,0.005,0.005,0.0255,0.001,0.0235,0.013,0.09,0.0045,0.0235,0.0185,0.105,0.021,0.088,0.0865,0.489
1.3449056148529053,0.196,0.0015,0.0035,0.0035,0.0235,0.005,0.0125,0.012,0.101,0.002,0.0215,0.018,0.096,0.0175,0.1,0.091,0.4915
1.3321630954742432,0.183,0.0015,0.002,0.004,0.028,0.0035,0.0165,0.0135,0.093,0.006,0.0185,0.017,0.1015,0.0155,0.103,0.0955,0.481
1.3205609321594238,0.196,0.001,0.0035,0.004,0.021,0.0055,0.018,0.0195,0.094,0.0045,0.021,0.018,0.1075,0.0195,0.094,0.089,0.48
1.2305424213409424,0.181,0.001,0.006,0.0035,0.0275,0.0045,0.013,0.0115,0.098,0.006,0.02,0.015,0.1,0.019,0.1005,0.091,0.4835
1.2845823764801025,0.241,0.0005,0.005,0.0025,0.0235,0.0035,0.026,0.0165,0.095,0.005,0.0205,0.013,0.091,0.0185,0.097,0.0805,0.502
1.2765796184539795,0.211,0.0015,0.006,0.005,0.0215,0.004,0.0145,0.0165,0.095,0.0025,0.0245,0.022,0.1095,0.022,0.092,0.0805,0.483
1.2667453289031982,0.176,0.0015,0.0045,0.004,0.0235,0.0045,0.0165,0.0095,0.096,0.0025,0.024,0.0155,0.108,0.021,0.1035,0.089,0.4765
1.2445409297943115,0.211,0.0005,0.006,0.003,0.0255,0.003,0.0205,0.0185,0.087,0.0035,0.0225,0.0265,0.11,0.0215,0.095,0.087,0.47
1.2556231021881104,0.198,0.001,0.007,0.0055,0.028,0.0025,0.017,0.0165,0.0945,0.005,0.0235,0.022,0.096,0.0205,0.103,0.0875,0.4705
1.19992995262146,0.216,0.0,0.0055,0.005,0.023,0.0045,0.0155,0.018,0.0925,0.003,0.0225,0.02,0.106,0.026,0.087,0.0885,0.483
1.2939298152923584,0.193,0.001,0.0065,0.0035,0.02,0.003,0.016,0.0175,0.096,0.0065,0.0195,0.0195,0.1025,0.0165,0.0985,0.087,0.4865
