Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3404192924499512,-0.154,0.075,0.0455,0.021,0.0175,0.169,0.0095,0.104,0.04,0.0405,0.0865,0.0135,0.1865,0.01,0.014,0.0605,0.107
1.2114205360412598,-0.142,0.0855,0.0445,0.018,0.011,0.1705,0.015,0.082,0.051,0.0515,0.089,0.012,0.173,0.0135,0.0205,0.042,0.121
1.278198003768921,-0.148,0.078,0.051,0.009,0.0085,0.185,0.0165,0.0905,0.039,0.0435,0.0845,0.01,0.1635,0.016,0.0255,0.0575,0.122
1.2997186183929443,-0.153,0.087,0.051,0.0085,0.0105,0.1865,0.015,0.0885,0.0475,0.0455,0.0705,0.014,0.162,0.0145,0.018,0.0575,0.1235
1.375777006149292,-0.14,0.084,0.0415,0.012,0.01,0.179,0.0185,0.1025,0.06,0.049,0.0845,0.0115,0.156,0.015,0.0195,0.053,0.104
1.3893840312957764,-0.174,0.084,0.045,0.0095,0.011,0.179,0.0125,0.0895,0.053,0.047,0.084,0.0105,0.1835,0.0135,0.022,0.048,0.108
1.3047468662261963,-0.129,0.0845,0.049,0.0115,0.013,0.1915,0.0145,0.1005,0.047,0.041,0.0725,0.008,0.156,0.0165,0.0185,0.05,0.126
1.3002831935882568,-0.154,0.0845,0.0415,0.006,0.0105,0.182,0.0125,0.088,0.0585,0.0495,0.0785,0.011,0.161,0.0195,0.022,0.0565,0.1185
1.2919948101043701,-0.168,0.0895,0.041,0.011,0.011,0.1725,0.0185,0.095,0.0515,0.051,0.063,0.015,0.1765,0.02,0.0225,0.058,0.104
1.2666652202606201,-0.148,0.0965,0.042,0.0125,0.0125,0.1745,0.018,0.087,0.053,0.04,0.083,0.012,0.179,0.018,0.023,0.05,0.099
1.3007292747497559,-0.168,0.082,0.0515,0.0105,0.009,0.19,0.0255,0.082,0.0615,0.044,0.0725,0.0135,0.161,0.0125,0.0165,0.049,0.119
1.3342235088348389,-0.141,0.0795,0.0505,0.013,0.007,0.173,0.024,0.0955,0.048,0.0495,0.086,0.015,0.1695,0.0175,0.0175,0.0495,0.105
1.3988926410675049,-0.168,0.0865,0.041,0.0115,0.0145,0.201,0.0145,0.0925,0.044,0.0455,0.074,0.0145,0.1665,0.0165,0.0225,0.052,0.103
1.4030356407165527,-0.152,0.093,0.039,0.0155,0.016,0.174,0.021,0.087,0.052,0.048,0.079,0.0075,0.1635,0.015,0.018,0.066,0.1055
1.264582872390747,-0.164,0.091,0.0405,0.016,0.009,0.1785,0.0175,0.0875,0.0525,0.044,0.0815,0.0145,0.178,0.0115,0.0175,0.055,0.1055
1.2771003246307373,-0.125,0.0895,0.037,0.0185,0.0135,0.1795,0.012,0.094,0.05,0.0405,0.0855,0.0095,0.1685,0.0145,0.023,0.0455,0.119
1.3316094875335693,-0.134,0.0855,0.04,0.012,0.0115,0.1755,0.0215,0.1,0.0565,0.049,0.0815,0.012,0.1605,0.0135,0.021,0.0525,0.1075
1.2465693950653076,-0.144,0.0855,0.0555,0.0115,0.0115,0.168,0.0155,0.0965,0.046,0.0445,0.0895,0.007,0.1705,0.0145,0.023,0.053,0.108
1.275130271911621,-0.151,0.0855,0.041,0.011,0.0125,0.19,0.0185,0.092,0.0515,0.0475,0.0835,0.012,0.1655,0.0215,0.019,0.05,0.099
1.3441896438598633,-0.149,0.0885,0.0425,0.014,0.0145,0.1785,0.0195,0.087,0.0485,0.0465,0.0835,0.0125,0.1785,0.0175,0.015,0.051,0.1025
1.2609548568725586,-0.174,0.0855,0.0455,0.014,0.0165,0.176,0.0175,0.079,0.051,0.051,0.081,0.0145,0.169,0.015,0.021,0.0595,0.104
1.3404862880706787,-0.192,0.074,0.0465,0.0155,0.015,0.184,0.0145,0.0875,0.0515,0.053,0.0855,0.0095,0.17,0.015,0.021,0.0545,0.103
1.211904764175415,-0.193,0.08,0.0385,0.016,0.013,0.192,0.0205,0.0895,0.052,0.051,0.0735,0.011,0.172,0.015,0.0235,0.0515,0.101
1.2577672004699707,-0.138,0.0865,0.048,0.0145,0.014,0.1745,0.0205,0.0855,0.053,0.045,0.078,0.013,0.1735,0.0115,0.018,0.0425,0.122
1.2840111255645752,-0.169,0.0855,0.042,0.0145,0.0115,0.177,0.014,0.0905,0.0455,0.048,0.0815,0.0185,0.172,0.013,0.023,0.0625,0.101
1.3696362972259521,-0.139,0.082,0.051,0.0135,0.014,0.182,0.011,0.0915,0.049,0.0415,0.0905,0.0095,0.169,0.019,0.016,0.0475,0.113
1.2878291606903076,-0.153,0.09,0.0465,0.017,0.0125,0.1805,0.0135,0.087,0.049,0.0415,0.0865,0.01,0.1705,0.015,0.017,0.0545,0.109
1.2933104038238525,-0.165,0.0885,0.04,0.0125,0.0125,0.185,0.015,0.0905,0.053,0.0555,0.0805,0.018,0.1665,0.007,0.0195,0.0505,0.1055
1.4029960632324219,-0.142,0.0775,0.046,0.016,0.014,0.1755,0.017,0.096,0.045,0.0455,0.0855,0.0055,0.158,0.0205,0.0245,0.0605,0.113
1.3007206916809082,-0.124,0.088,0.042,0.016,0.0095,0.1795,0.018,0.0855,0.053,0.0365,0.091,0.012,0.1605,0.02,0.021,0.0535,0.114
1.287961721420288,-0.176,0.0765,0.0505,0.0155,0.0085,0.1765,0.0115,0.1065,0.0515,0.045,0.0855,0.0105,0.178,0.0155,0.0215,0.0495,0.0975
1.2783746719360352,-0.157,0.089,0.044,0.01,0.012,0.1785,0.017,0.0835,0.0495,0.0495,0.0865,0.007,0.171,0.014,0.0195,0.0565,0.1125
1.3044915199279785,-0.187,0.067,0.053,0.0135,0.0115,0.183,0.0165,0.09,0.053,0.0485,0.0855,0.0115,0.1615,0.019,0.031,0.05,0.1055
1.288379192352295,-0.133,0.087,0.0455,0.013,0.011,0.164,0.0135,0.091,0.054,0.047,0.0805,0.0155,0.163,0.014,0.0295,0.0505,0.121
1.4005894660949707,-0.164,0.0845,0.0485,0.0125,0.014,0.1735,0.0165,0.091,0.049,0.0485,0.0775,0.0115,0.178,0.0105,0.018,0.054,0.1125
1.3837850093841553,-0.134,0.09,0.0475,0.015,0.012,0.1765,0.022,0.0885,0.057,0.046,0.086,0.015,0.161,0.013,0.016,0.048,0.1065
1.280707836151123,-0.148,0.0945,0.051,0.011,0.01,0.176,0.0165,0.093,0.0445,0.0505,0.0805,0.012,0.165,0.0155,0.016,0.06,0.104
1.3368339538574219,-0.157,0.079,0.0475,0.0145,0.015,0.1755,0.0195,0.0905,0.0485,0.0485,0.0795,0.013,0.1655,0.015,0.026,0.0525,0.11
1.2924649715423584,-0.117,0.0835,0.0425,0.011,0.01,0.1875,0.02,0.0945,0.0445,0.0415,0.088,0.014,0.162,0.0145,0.0205,0.049,0.117
1.2870087623596191,-0.145,0.089,0.046,0.014,0.0135,0.2015,0.0135,0.097,0.051,0.041,0.081,0.0105,0.1565,0.014,0.0205,0.042,0.109
1.3378167152404785,-0.146,0.0965,0.045,0.012,0.0145,0.1825,0.0185,0.092,0.0525,0.052,0.0725,0.0105,0.154,0.0145,0.019,0.056,0.108
1.3157191276550293,-0.178,0.075,0.0525,0.013,0.015,0.183,0.0125,0.09,0.0555,0.049,0.0875,0.0105,0.1635,0.0205,0.0245,0.048,0.1
1.2680301666259766,-0.136,0.0895,0.044,0.016,0.0105,0.173,0.016,0.0915,0.05,0.042,0.0825,0.013,0.1695,0.0175,0.0195,0.054,0.1115
1.4132897853851318,-0.128,0.094,0.053,0.0125,0.0155,0.1725,0.019,0.0815,0.0505,0.0525,0.1005,0.009,0.1525,0.0135,0.0175,0.053,0.103
1.36350679397583,-0.185,0.078,0.0455,0.018,0.016,0.1815,0.0145,0.088,0.055,0.05,0.089,0.014,0.1675,0.0145,0.023,0.052,0.0935
1.3443994522094727,-0.118,0.086,0.0425,0.014,0.0145,0.1685,0.0135,0.102,0.0455,0.0445,0.075,0.0135,0.1765,0.0155,0.02,0.0475,0.121
1.2817111015319824,-0.153,0.0775,0.047,0.0095,0.0105,0.1775,0.0135,0.0905,0.0625,0.045,0.083,0.008,0.17,0.018,0.0175,0.0475,0.1225
1.4250454902648926,-0.182,0.0815,0.0455,0.013,0.016,0.19,0.015,0.0875,0.0605,0.044,0.083,0.011,0.166,0.018,0.0195,0.0525,0.097
1.2809441089630127,-0.182,0.081,0.044,0.0135,0.0085,0.178,0.018,0.0945,0.055,0.0505,0.0775,0.011,0.178,0.0155,0.021,0.051,0.103
1.3177506923675537,-0.133,0.08,0.053,0.014,0.0115,0.1765,0.02,0.091,0.0425,0.036,0.08,0.0095,0.1695,0.0185,0.0225,0.0525,0.123
1.2796313762664795,-0.167,0.0725,0.0425,0.0125,0.0125,0.173,0.0195,0.0915,0.0565,0.0455,0.0815,0.0145,0.177,0.0165,0.025,0.0515,0.108
