Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7
1.4090383052825928,0.763,0.8405,0.025,0.039,0.0115,0.042,0.012,0.0175,0.0125
1.4239869117736816,0.79,0.853,0.0245,0.037,0.007,0.039,0.0105,0.0245,0.0045
1.336733102798462,0.789,0.861,0.023,0.033,0.006,0.04,0.0095,0.018,0.0095
1.4596431255340576,0.797,0.856,0.019,0.035,0.009,0.041,0.0105,0.023,0.0065
1.287210464477539,0.741,0.828,0.0255,0.0395,0.007,0.055,0.012,0.0235,0.0095
1.353125810623169,0.792,0.8575,0.0295,0.028,0.011,0.034,0.016,0.0115,0.0125
1.2917978763580322,0.799,0.8665,0.0295,0.0335,0.008,0.026,0.012,0.013,0.0115
1.3939027786254883,0.776,0.8455,0.0285,0.038,0.0115,0.0365,0.0115,0.0195,0.009
1.2967514991760254,0.794,0.861,0.031,0.0295,0.0085,0.0345,0.0085,0.019,0.008
1.2833750247955322,0.751,0.825,0.03,0.0405,0.013,0.0425,0.017,0.0205,0.0115
1.4166789054870605,0.76,0.8355,0.0285,0.043,0.0075,0.038,0.0155,0.0215,0.0105
1.2282893657684326,0.773,0.841,0.0315,0.0375,0.007,0.0385,0.013,0.0255,0.006
1.2587716579437256,0.805,0.8635,0.025,0.038,0.0045,0.0255,0.016,0.0185,0.009
1.334726333618164,0.765,0.846,0.0245,0.0355,0.005,0.044,0.011,0.0205,0.0135
1.3811023235321045,0.742,0.827,0.03,0.0495,0.0125,0.038,0.0125,0.019,0.0115
1.2806658744812012,0.789,0.8575,0.025,0.0415,0.007,0.0325,0.011,0.019,0.0065
1.350048542022705,0.79,0.852,0.0305,0.0285,0.01,0.033,0.015,0.018,0.013
1.4053916931152344,0.766,0.8395,0.0285,0.0405,0.01,0.039,0.0145,0.019,0.009
1.330650806427002,0.78,0.8515,0.0255,0.0335,0.016,0.035,0.01,0.0125,0.016
1.2842204570770264,0.744,0.818,0.027,0.043,0.0125,0.046,0.017,0.0245,0.012
1.3000729084014893,0.775,0.848,0.0285,0.038,0.0045,0.039,0.0115,0.0235,0.007
1.3471770286560059,0.763,0.8365,0.0255,0.0375,0.0115,0.04,0.0175,0.016,0.0155
1.380605697631836,0.762,0.8365,0.029,0.038,0.0105,0.041,0.0155,0.0185,0.011
1.2701597213745117,0.784,0.859,0.027,0.0375,0.007,0.0355,0.0105,0.0155,0.008
1.3376529216766357,0.78,0.851,0.032,0.035,0.005,0.0345,0.016,0.018,0.0085
1.3288354873657227,0.78,0.858,0.0295,0.036,0.0065,0.03,0.0125,0.013,0.0145
1.3130528926849365,0.784,0.8545,0.02,0.032,0.0085,0.042,0.012,0.017,0.014
1.3222408294677734,0.771,0.8375,0.028,0.038,0.0135,0.0385,0.0155,0.019,0.01
1.3517115116119385,0.775,0.84,0.022,0.038,0.0075,0.045,0.013,0.027,0.0075
1.2661614418029785,0.797,0.86,0.027,0.037,0.007,0.031,0.012,0.0195,0.0065
1.3199760913848877,0.819,0.872,0.0265,0.0315,0.0065,0.0245,0.0115,0.0195,0.008
1.262639045715332,0.789,0.86,0.023,0.0375,0.0095,0.0275,0.012,0.013,0.0175
1.3088874816894531,0.767,0.844,0.021,0.0425,0.009,0.0495,0.009,0.0215,0.0035
1.3067684173583984,0.779,0.8535,0.025,0.041,0.006,0.032,0.011,0.019,0.0125
1.392681360244751,0.761,0.8385,0.025,0.0355,0.0095,0.045,0.0145,0.018,0.014
1.4659903049468994,0.774,0.8445,0.026,0.0345,0.0085,0.044,0.0115,0.0225,0.0085
1.3237528800964355,0.771,0.835,0.0245,0.04,0.0145,0.0345,0.0185,0.0175,0.0155
1.3210186958312988,0.76,0.8315,0.026,0.043,0.0095,0.044,0.01,0.029,0.007
1.2763261795043945,0.753,0.8305,0.031,0.047,0.0155,0.0335,0.014,0.0165,0.012
1.313136339187622,0.766,0.839,0.025,0.0375,0.0135,0.0425,0.0145,0.016,0.012
1.2962093353271484,0.74,0.817,0.0345,0.0415,0.018,0.0435,0.016,0.019,0.0105
1.3316550254821777,0.773,0.847,0.024,0.038,0.0065,0.0425,0.01,0.023,0.009
1.319761037826538,0.752,0.8335,0.0345,0.042,0.0145,0.0355,0.012,0.016,0.012
1.2689557075500488,0.744,0.825,0.032,0.043,0.0135,0.0405,0.0155,0.018,0.0125
1.4166414737701416,0.755,0.8365,0.023,0.0385,0.008,0.052,0.0115,0.0215,0.009
1.2940707206726074,0.747,0.831,0.0295,0.0405,0.009,0.0425,0.014,0.0195,0.014
1.2751808166503906,0.754,0.838,0.0285,0.037,0.005,0.0435,0.011,0.023,0.014
1.4911091327667236,0.754,0.8335,0.0285,0.0395,0.013,0.044,0.011,0.0195,0.011
1.3660168647766113,0.749,0.83,0.036,0.04,0.0095,0.039,0.015,0.02,0.0105
1.3776569366455078,0.777,0.845,0.025,0.0445,0.0125,0.0325,0.014,0.017,0.0095
1.390669345855713,0.748,0.831,0.033,0.0405,0.01,0.04,0.0125,0.0205,0.0125
1.3944549560546875,0.752,0.8365,0.026,0.0425,0.01,0.0455,0.0135,0.016,0.01
1.345902442932129,0.789,0.8625,0.023,0.042,0.006,0.031,0.0095,0.0165,0.0095
1.3041799068450928,0.796,0.869,0.0285,0.033,0.0035,0.0315,0.0105,0.015,0.009
1.2963354587554932,0.8,0.865,0.027,0.0285,0.0085,0.0355,0.0105,0.016,0.009
1.3010048866271973,0.774,0.8385,0.0275,0.042,0.0115,0.034,0.017,0.02,0.0095
1.3256938457489014,0.807,0.863,0.027,0.032,0.009,0.0315,0.013,0.0185,0.006
1.2926993370056152,0.745,0.837,0.0325,0.0445,0.0065,0.037,0.014,0.015,0.0135
1.4857289791107178,0.781,0.8585,0.0285,0.035,0.0065,0.034,0.0085,0.017,0.012
1.351816177368164,0.723,0.8215,0.0315,0.0475,0.012,0.0455,0.012,0.016,0.014
1.298048973083496,0.789,0.858,0.021,0.034,0.0095,0.0435,0.01,0.017,0.007
1.3957080841064453,0.782,0.855,0.0245,0.034,0.0085,0.043,0.0105,0.017,0.0075
1.3369228839874268,0.751,0.8295,0.0255,0.046,0.013,0.0405,0.018,0.015,0.0125
1.30413818359375,0.796,0.8575,0.026,0.0325,0.0105,0.0315,0.0135,0.0165,0.012
1.3045518398284912,0.771,0.8355,0.0265,0.041,0.013,0.037,0.017,0.02,0.01
1.3393266201019287,0.78,0.844,0.026,0.041,0.01,0.035,0.0155,0.0205,0.008
1.4685468673706055,0.751,0.828,0.0305,0.042,0.012,0.04,0.013,0.0225,0.012
1.3348932266235352,0.789,0.861,0.0305,0.034,0.01,0.031,0.009,0.0145,0.01
1.36541748046875,0.81,0.8675,0.0285,0.0275,0.01,0.0365,0.0105,0.017,0.0025
1.2938013076782227,0.804,0.8565,0.0195,0.036,0.0075,0.038,0.0145,0.0235,0.0045
1.2923390865325928,0.767,0.8455,0.0335,0.0335,0.008,0.0405,0.0115,0.0185,0.009
1.31596040725708,0.786,0.836,0.026,0.037,0.016,0.035,0.0175,0.0235,0.009
1.335958480834961,0.776,0.849,0.0255,0.034,0.0045,0.044,0.0125,0.022,0.0085
1.3175244331359863,0.771,0.836,0.0285,0.0375,0.0175,0.036,0.0115,0.0205,0.0125
1.363370418548584,0.77,0.8445,0.029,0.0335,0.0125,0.0385,0.012,0.016,0.014
1.3739962577819824,0.757,0.837,0.02,0.0475,0.0095,0.046,0.0095,0.0225,0.008
1.3658599853515625,0.793,0.855,0.025,0.034,0.0095,0.035,0.013,0.019,0.0095
1.3289248943328857,0.801,0.862,0.024,0.0325,0.0075,0.036,0.0105,0.0205,0.007
1.3501884937286377,0.769,0.8335,0.029,0.0375,0.015,0.039,0.014,0.022,0.01
1.287968635559082,0.804,0.8695,0.03,0.0285,0.0095,0.026,0.011,0.012,0.0135
1.6147584915161133,0.81,0.869,0.0205,0.0365,0.01,0.028,0.011,0.015,0.01
1.342176914215088,0.77,0.84,0.0265,0.037,0.0115,0.043,0.0125,0.021,0.0085
1.283360481262207,0.807,0.868,0.0285,0.0315,0.009,0.027,0.0095,0.017,0.0095
1.339170217514038,0.807,0.86,0.024,0.0315,0.006,0.033,0.014,0.0235,0.008
1.2585790157318115,0.761,0.835,0.026,0.047,0.0105,0.036,0.0155,0.0195,0.0105
1.2850589752197266,0.78,0.846,0.021,0.0385,0.011,0.0385,0.0125,0.0205,0.012
1.3007276058197021,0.779,0.8435,0.025,0.0345,0.009,0.0425,0.017,0.02,0.0085
1.299773931503296,0.774,0.848,0.0195,0.047,0.0045,0.038,0.016,0.0185,0.0085
1.3906378746032715,0.734,0.824,0.0285,0.046,0.013,0.044,0.017,0.013,0.0145
1.2806243896484375,0.761,0.84,0.0305,0.0455,0.0095,0.031,0.012,0.019,0.0125
1.3983674049377441,0.805,0.876,0.0235,0.0315,0.0055,0.0365,0.009,0.012,0.006
1.350475788116455,0.777,0.8565,0.033,0.037,0.009,0.0295,0.012,0.011,0.012
1.2808847427368164,0.783,0.861,0.0235,0.037,0.007,0.0345,0.0105,0.013,0.0135
1.3175742626190186,0.79,0.8445,0.0225,0.0315,0.0095,0.04,0.019,0.022,0.011
1.5710928440093994,0.763,0.8355,0.028,0.0425,0.014,0.042,0.013,0.019,0.006
1.3758041858673096,0.761,0.826,0.025,0.0445,0.0165,0.041,0.0175,0.0205,0.009
1.3288791179656982,0.747,0.832,0.0315,0.044,0.016,0.0425,0.0095,0.016,0.0085
1.3517529964447021,0.778,0.8515,0.024,0.037,0.007,0.044,0.0095,0.021,0.006
1.3423058986663818,0.782,0.8615,0.021,0.038,0.0045,0.0435,0.0095,0.0155,0.0065
1.4092059135437012,0.774,0.842,0.0215,0.0405,0.009,0.0415,0.018,0.018,0.0095
1.3514513969421387,0.773,0.8475,0.031,0.0325,0.006,0.0435,0.0155,0.0175,0.0065
1.3492727279663086,0.763,0.835,0.033,0.0365,0.012,0.035,0.0165,0.018,0.014
1.745279312133789,0.774,0.8405,0.026,0.039,0.016,0.0375,0.0135,0.017,0.0105
1.318159580230713,0.775,0.8485,0.024,0.0335,0.0075,0.046,0.011,0.0205,0.009
1.3445916175842285,0.763,0.843,0.029,0.045,0.0105,0.0315,0.016,0.012,0.013
1.2375802993774414,0.805,0.8635,0.022,0.032,0.004,0.0375,0.0115,0.0235,0.006
1.4143176078796387,0.78,0.8455,0.0265,0.0375,0.008,0.0415,0.014,0.0225,0.0045
1.3060698509216309,0.777,0.8485,0.032,0.029,0.007,0.045,0.0105,0.0225,0.0055
1.331843614578247,0.785,0.8565,0.028,0.0395,0.011,0.0305,0.012,0.013,0.0095
1.3466160297393799,0.802,0.8655,0.0225,0.0345,0.0075,0.035,0.0135,0.0145,0.007
1.2881908416748047,0.771,0.8385,0.0315,0.0405,0.0105,0.033,0.0185,0.018,0.0095
1.2938263416290283,0.794,0.869,0.0305,0.0315,0.008,0.032,0.0065,0.0135,0.009
1.2959868907928467,0.764,0.8355,0.033,0.0365,0.0085,0.04,0.016,0.022,0.0085
1.3010482788085938,0.789,0.8555,0.0245,0.0355,0.011,0.038,0.011,0.017,0.0075
1.340144395828247,0.787,0.8425,0.0205,0.041,0.016,0.032,0.011,0.024,0.013
1.386857509613037,0.788,0.857,0.03,0.0325,0.005,0.0365,0.0115,0.0205,0.007
1.3333914279937744,0.794,0.869,0.0235,0.042,0.0035,0.03,0.0105,0.014,0.0075
1.3004744052886963,0.754,0.8325,0.0265,0.041,0.013,0.0455,0.0165,0.015,0.01
1.2499415874481201,0.747,0.823,0.0345,0.0465,0.01,0.0325,0.018,0.0225,0.013
1.342315912246704,0.751,0.8185,0.026,0.042,0.013,0.0425,0.0215,0.0225,0.014
1.345203161239624,0.796,0.8665,0.024,0.0385,0.005,0.0335,0.0085,0.018,0.006
1.3000900745391846,0.776,0.8455,0.028,0.039,0.0125,0.0335,0.0165,0.0135,0.0115
1.3581373691558838,0.736,0.823,0.035,0.049,0.0125,0.037,0.012,0.0205,0.011
1.343961238861084,0.765,0.834,0.027,0.033,0.013,0.047,0.0215,0.014,0.0105
1.3449585437774658,0.773,0.8515,0.025,0.0375,0.006,0.043,0.012,0.017,0.008
1.3222451210021973,0.774,0.856,0.0215,0.034,0.002,0.0445,0.0095,0.0195,0.013
1.3280165195465088,0.808,0.862,0.028,0.033,0.0075,0.029,0.0105,0.024,0.006
1.3721463680267334,0.803,0.866,0.0285,0.0345,0.009,0.0285,0.0095,0.017,0.007
1.2666840553283691,0.763,0.834,0.0315,0.047,0.015,0.0315,0.018,0.0145,0.0085
1.338273525238037,0.804,0.868,0.0245,0.0275,0.0125,0.0355,0.008,0.0135,0.0105
1.290923833847046,0.786,0.845,0.02,0.0395,0.012,0.035,0.0155,0.0205,0.0125
1.307128667831421,0.777,0.852,0.031,0.0335,0.0085,0.0345,0.013,0.015,0.0125
1.3141953945159912,0.767,0.836,0.0215,0.0365,0.0115,0.0475,0.0175,0.0185,0.011
1.2696402072906494,0.744,0.8345,0.029,0.038,0.0065,0.046,0.0105,0.0205,0.015
1.338470220565796,0.752,0.835,0.0315,0.038,0.0125,0.041,0.0095,0.019,0.0135
1.2971837520599365,0.79,0.851,0.03,0.0335,0.0085,0.035,0.014,0.0215,0.0065
1.3134429454803467,0.78,0.842,0.021,0.043,0.0125,0.0325,0.014,0.0215,0.0135
1.5236167907714844,0.796,0.8575,0.028,0.027,0.0095,0.038,0.0145,0.0165,0.009
1.2744603157043457,0.794,0.848,0.0265,0.0355,0.011,0.035,0.02,0.018,0.006
1.2875089645385742,0.815,0.863,0.0235,0.031,0.009,0.0305,0.0125,0.023,0.0075
1.2949230670928955,0.785,0.8605,0.0275,0.038,0.0095,0.0295,0.0095,0.013,0.0125
1.3519554138183594,0.767,0.847,0.0175,0.036,0.0065,0.049,0.011,0.019,0.014
1.3249928951263428,0.769,0.84,0.03,0.0375,0.011,0.034,0.0115,0.022,0.014
1.32957124710083,0.784,0.85,0.028,0.0405,0.0115,0.0275,0.0115,0.019,0.012
1.320087194442749,0.779,0.8615,0.029,0.0335,0.01,0.0335,0.01,0.008,0.0145
1.2386589050292969,0.778,0.8375,0.0325,0.0355,0.014,0.034,0.015,0.0225,0.009
1.3657362461090088,0.785,0.858,0.0265,0.033,0.01,0.0385,0.0115,0.013,0.0095
1.302452802658081,0.794,0.852,0.028,0.0345,0.012,0.03,0.0175,0.0155,0.0105
1.4131169319152832,0.778,0.856,0.027,0.0395,0.0135,0.0325,0.01,0.0095,0.012
1.3415956497192383,0.765,0.847,0.0345,0.044,0.0055,0.035,0.014,0.016,0.004
1.2789945602416992,0.791,0.859,0.027,0.0395,0.007,0.0255,0.014,0.0155,0.0125
1.2671141624450684,0.753,0.8185,0.028,0.0385,0.018,0.041,0.0185,0.0215,0.016
1.408905029296875,0.784,0.8585,0.0215,0.0285,0.0045,0.047,0.0095,0.0195,0.011
1.4041132926940918,0.78,0.839,0.0265,0.0375,0.0135,0.036,0.0155,0.022,0.01
1.3173103332519531,0.763,0.835,0.0265,0.0415,0.013,0.0385,0.0125,0.021,0.012
1.3009490966796875,0.805,0.8655,0.027,0.0315,0.004,0.032,0.0115,0.0215,0.007
1.2726008892059326,0.811,0.866,0.026,0.035,0.0105,0.0285,0.0125,0.0165,0.005
1.3084239959716797,0.788,0.849,0.027,0.0385,0.013,0.0335,0.0135,0.0185,0.007
1.404557466506958,0.803,0.8485,0.0205,0.033,0.0175,0.0365,0.0145,0.021,0.0085
1.2859413623809814,0.803,0.8495,0.0255,0.0305,0.0125,0.0335,0.0145,0.025,0.009
1.3540656566619873,0.766,0.844,0.0195,0.037,0.011,0.0475,0.013,0.015,0.013
1.3236274719238281,0.752,0.833,0.0335,0.04,0.009,0.0385,0.011,0.023,0.012
1.2917869091033936,0.771,0.8495,0.024,0.0325,0.0025,0.0475,0.015,0.0185,0.0105
1.2245829105377197,0.774,0.841,0.031,0.0335,0.009,0.037,0.016,0.021,0.0115
1.406881332397461,0.791,0.858,0.0195,0.0415,0.011,0.0305,0.011,0.0155,0.013
1.3411951065063477,0.807,0.8735,0.029,0.034,0.004,0.025,0.013,0.013,0.0085
1.2983527183532715,0.787,0.846,0.025,0.037,0.0085,0.0325,0.0155,0.0235,0.012
1.3761427402496338,0.763,0.8335,0.0295,0.043,0.011,0.034,0.0185,0.0185,0.012
1.34391188621521,0.743,0.829,0.0265,0.0505,0.0125,0.0385,0.0115,0.0185,0.013
1.3182368278503418,0.766,0.837,0.037,0.032,0.009,0.0335,0.016,0.021,0.0145
1.350743293762207,0.802,0.8585,0.022,0.0355,0.0045,0.0375,0.0135,0.0245,0.004
1.307220458984375,0.794,0.8655,0.0275,0.034,0.0075,0.03,0.008,0.016,0.0115
1.296978235244751,0.752,0.836,0.0305,0.0375,0.0115,0.0425,0.014,0.0145,0.0135
1.3084313869476318,0.75,0.824,0.0255,0.0435,0.01,0.046,0.0185,0.0225,0.01
